Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-05-14 18:59:54,1192,Rear Sliding Door Centre,STATE,RESET,0,20.4,
2023-05-14 13:35:53,1192,Rear Sliding Door Centre,STATE,RESET,0,30.2,
2023-05-14 02:52:21,1192,Rear Sliding Door Centre,STATE,RESET,0,12.7,
2023-05-13 21:30:49,1192,Rear Sliding Door Centre,STATE,RESET,0,14.1,
2023-05-13 00:03:29,1192,Rear Sliding Door Centre,STATE,RESET,0,13.1,
2023-04-19 17:59:45,1192,Rear Sliding Door Centre,STATE,RESET,0,16.6,
2023-04-16 14:54:01,1192,Rear Sliding Door Centre,STATE,RESET,0,27.1,
2023-04-12 09:03:46,1192,Rear Sliding Door Centre,STATE,RESET,0,16.6,
2023-04-12 03:43:04,1192,Rear Sliding Door Centre,STATE,RESET,0,10.3,
2023-04-11 11:50:56,1192,Rear Sliding Door Centre,STATE,PRE-WARN,0,26.4,
2023-04-11 11:38:00,1192,Rear Sliding Door Centre,STATE,RESET,0,26.4,
2023-04-10 14:12:28,1192,Rear Sliding Door Centre,STATE,RESET,0,13.8,
2023-04-10 08:51:21,1192,Rear Sliding Door Centre,STATE,RESET,0,12,
2023-04-09 06:02:47,1192,Rear Sliding Door Centre,STATE,RESET,0,8.9,
2023-04-08 13:59:31,1192,Rear Sliding Door Centre,STATE,RESET,0,15.5,
2023-04-07 05:49:30,1192,Rear Sliding Door Centre,STATE,RESET,0,9.6,
2023-04-06 08:23:48,1192,Rear Sliding Door Centre,STATE,RESET,0,11.3,
2023-04-05 21:41:36,1192,Rear Sliding Door Centre,STATE,RESET,0,12.4,
2023-04-04 02:49:27,1192,Rear Sliding Door Centre,STATE,RESET,0,8.2,
2023-04-02 18:41:35,1192,Rear Sliding Door Centre,STATE,RESET,0,12.7,
2023-03-30 21:05:02,1192,Rear Sliding Door Centre,STATE,RESET,0,14.1,
2023-03-30 04:58:36,1192,Rear Sliding Door Centre,STATE,RESET,0,12.4,
2023-03-28 15:30:59,1192,Rear Sliding Door Centre,STATE,RESET,0,10.6,
2023-03-28 11:28:42,1192,Rear Sliding Door Centre,STATE,PRE-WARN,0,9.9,
2023-03-28 11:28:39,1192,Rear Sliding Door Centre,STATE,PRE-WARN,0,9.9,
2023-03-28 11:28:23,1192,Rear Sliding Door Centre,STATE,PRE-WARN,0,9.9,
2023-03-28 11:28:08,1192,Rear Sliding Door Centre,STATE,PRE-WARN,0,8.9,
2023-03-28 10:10:21,1192,Rear Sliding Door Centre,STATE,RESET,0,8.9,
2023-02-27 10:01:06,1192,Rear Sliding Door Centre,STATE,RESET,0,15.5,
2023-02-27 04:40:55,1192,Rear Sliding Door Centre,STATE,RESET,0,2.2,
2023-02-26 23:21:18,1192,Rear Sliding Door Centre,STATE,RESET,0,3.3,
2023-02-26 18:01:20,1192,Rear Sliding Door Centre,STATE,RESET,0,6.8,
2023-02-26 12:40:23,1192,Rear Sliding Door Centre,STATE,RESET,0,12,
2023-02-26 07:18:42,1192,Rear Sliding Door Centre,STATE,RESET,0,4.7,
2023-02-26 01:58:42,1192,Rear Sliding Door Centre,STATE,RESET,0,4.7,
2023-02-25 20:38:42,1192,Rear Sliding Door Centre,STATE,RESET,0,5.4,
2023-02-25 15:18:12,1192,Rear Sliding Door Centre,STATE,RESET,0,13.4,
2023-02-25 09:56:33,1192,Rear Sliding Door Centre,STATE,RESET,0,12.4,
2023-02-25 04:36:15,1192,Rear Sliding Door Centre,STATE,RESET,0,6.4,
2023-02-24 23:15:58,1192,Rear Sliding Door Centre,STATE,RESET,0,7.1,
2023-02-24 17:55:31,1192,Rear Sliding Door Centre,STATE,RESET,0,9.6,
2023-02-24 12:34:13,1192,Rear Sliding Door Centre,STATE,RESET,0,13.8,
2023-02-24 07:13:22,1192,Rear Sliding Door Centre,STATE,RESET,0,6.4,
2023-02-24 01:53:14,1192,Rear Sliding Door Centre,STATE,RESET,0,5.4,
2023-02-23 20:33:10,1192,Rear Sliding Door Centre,STATE,RESET,0,6.8,
2023-02-23 15:12:27,1192,Rear Sliding Door Centre,STATE,RESET,0,10.6,
2023-02-23 09:51:06,1192,Rear Sliding Door Centre,STATE,RESET,0,11.3,
2023-02-23 04:30:17,1192,Rear Sliding Door Centre,STATE,RESET,0,9.6,
2023-02-22 23:09:33,1192,Rear Sliding Door Centre,STATE,RESET,0,9.9,
2023-02-22 17:48:36,1192,Rear Sliding Door Centre,STATE,RESET,0,10.3,
2023-02-07 08:33:13,1192,Rear Sliding Door Centre,STATE,RESET,0,5.7,
2023-02-07 03:13:34,1192,Rear Sliding Door Centre,STATE,RESET,0,2.9,
2023-02-06 21:53:46,1192,Rear Sliding Door Centre,STATE,RESET,0,5,
2023-02-06 16:33:29,1192,Rear Sliding Door Centre,STATE,RESET,0,9.6,
2023-02-06 11:11:22,1192,Rear Sliding Door Centre,STATE,RESET,0,32,
2023-02-06 11:11:11,1192,Rear Sliding Door Centre,STATE,RESET,0,32,
2023-02-06 05:48:49,1192,Rear Sliding Door Centre,STATE,RESET,0,5.4,
2023-02-06 00:28:39,1192,Rear Sliding Door Centre,STATE,RESET,0,6.1,
2023-02-05 19:08:23,1192,Rear Sliding Door Centre,STATE,RESET,0,6.8,
2023-02-05 13:47:23,1192,Rear Sliding Door Centre,STATE,RESET,0,14.8,
