Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-05-15 08:03:10,1166,Rear Sliding Door Left,STATE,RESET,0,16.2,
2023-05-14 21:24:43,1166,Rear Sliding Door Left,STATE,RESET,0,16.6,
2023-05-14 00:04:48,1166,Rear Sliding Door Left,STATE,RESET,0,13.1,
2023-05-13 18:45:35,1166,Rear Sliding Door Left,STATE,RESET,0,18,
2023-05-13 13:25:24,1166,Rear Sliding Door Left,STATE,RESET,0,21.5,
2023-05-13 08:05:49,1166,Rear Sliding Door Left,STATE,RESET,0,13.8,
2023-05-13 02:47:01,1166,Rear Sliding Door Left,STATE,RESET,0,12.4,
2023-05-12 21:28:08,1166,Rear Sliding Door Left,STATE,RESET,0,13.1,
2023-05-12 21:27:57,1166,Rear Sliding Door Left,STATE,RESET,0,13.1,
2023-04-20 11:37:26,1166,Rear Sliding Door Left,STATE,RESET,0,32.3,
2023-04-19 14:19:53,1166,Rear Sliding Door Left,STATE,RESET,0,30.2,
2023-04-17 19:46:26,1166,Rear Sliding Door Left,STATE,RESET,0,13.8,
2023-04-17 14:26:26,1166,Rear Sliding Door Left,STATE,RESET,0,31.3,
2023-04-14 22:32:43,1166,Rear Sliding Door Left,STATE,RESET,0,11,
2023-04-12 06:43:59,1166,Rear Sliding Door Left,STATE,RESET,0,8.9,
2023-04-05 09:52:44,1166,Rear Sliding Door Left,STATE,RESET,0,16.6,
2023-04-04 01:59:15,1166,Rear Sliding Door Left,STATE,RESET,0,8.2,
2023-04-03 04:41:43,1166,Rear Sliding Door Left,STATE,RESET,0,7.5,
2023-03-31 02:18:21,1166,Rear Sliding Door Left,STATE,RESET,0,11.7,
2023-03-29 02:26:50,1166,Rear Sliding Door Left,STATE,RESET,0,9.9,
2023-02-27 10:24:35,1166,Rear Sliding Door Left,STATE,RESET,0,19.4,
2023-02-27 05:06:31,1166,Rear Sliding Door Left,STATE,RESET,0,2.6,
2023-02-26 23:49:20,1166,Rear Sliding Door Left,STATE,RESET,0,3.6,
2023-02-26 18:31:56,1166,Rear Sliding Door Left,STATE,RESET,0,6.4,
2023-02-26 13:13:22,1166,Rear Sliding Door Left,STATE,RESET,0,14.1,
2023-02-26 07:53:48,1166,Rear Sliding Door Left,STATE,RESET,0,6.1,
2023-02-26 02:36:22,1166,Rear Sliding Door Left,STATE,RESET,0,5.4,
2023-02-25 21:18:44,1166,Rear Sliding Door Left,STATE,RESET,0,5.7,
2023-02-25 16:00:43,1166,Rear Sliding Door Left,STATE,RESET,0,13.1,
2023-02-25 10:41:14,1166,Rear Sliding Door Left,STATE,RESET,0,14.1,
2023-02-25 05:23:10,1166,Rear Sliding Door Left,STATE,RESET,0,6.8,
2023-02-25 00:05:22,1166,Rear Sliding Door Left,STATE,RESET,0,7.5,
2023-02-24 18:47:21,1166,Rear Sliding Door Left,STATE,RESET,0,8.9,
2023-02-24 13:28:35,1166,Rear Sliding Door Left,STATE,RESET,0,14.8,
2023-02-24 08:09:59,1166,Rear Sliding Door Left,STATE,RESET,0,8.2,
2023-02-24 02:52:09,1166,Rear Sliding Door Left,STATE,RESET,0,6.4,
2023-02-23 21:34:25,1166,Rear Sliding Door Left,STATE,RESET,0,6.8,
2023-02-23 16:16:18,1166,Rear Sliding Door Left,STATE,RESET,0,11,
2023-02-23 10:57:30,1166,Rear Sliding Door Left,STATE,RESET,0,12.7,
2023-02-23 05:39:04,1166,Rear Sliding Door Left,STATE,RESET,0,9.9,
2023-02-23 00:20:51,1166,Rear Sliding Door Left,STATE,RESET,0,9.6,
2023-02-22 19:02:23,1166,Rear Sliding Door Left,STATE,RESET,0,10.6,
2023-02-07 07:18:10,1166,Rear Sliding Door Left,STATE,RESET,0,2.2,
2023-02-06 20:43:29,1166,Rear Sliding Door Left,STATE,RESET,0,6.4,
2023-02-06 15:25:31,1166,Rear Sliding Door Left,STATE,RESET,0,11.3,
2023-02-06 10:04:45,1166,Rear Sliding Door Left,STATE,RESET,0,37.2,
2023-02-06 04:46:16,1166,Rear Sliding Door Left,STATE,RESET,0,5.7,
2023-02-05 23:28:34,1166,Rear Sliding Door Left,STATE,RESET,0,6.4,
2023-02-05 18:10:50,1166,Rear Sliding Door Left,STATE,RESET,0,7.8,
2023-02-05 12:52:07,1166,Rear Sliding Door Left,STATE,RESET,0,20.4,
2023-02-05 07:31:45,1166,Rear Sliding Door Left,STATE,RESET,0,6.1,
2023-02-05 02:13:49,1166,Rear Sliding Door Left,STATE,RESET,0,9.2,
2023-02-04 20:55:42,1166,Rear Sliding Door Left,STATE,RESET,0,9.6,
2023-02-04 15:37:24,1166,Rear Sliding Door Left,STATE,RESET,0,11.7,
2023-02-04 10:18:43,1166,Rear Sliding Door Left,STATE,RESET,0,10.6,
2023-02-04 05:00:29,1166,Rear Sliding Door Left,STATE,RESET,0,9.9,
2023-02-03 23:42:12,1166,Rear Sliding Door Left,STATE,RESET,0,9.9,
2023-02-03 18:23:44,1166,Rear Sliding Door Left,STATE,RESET,0,12,
2023-02-03 13:04:42,1166,Rear Sliding Door Left,STATE,RESET,0,17.3,
2023-02-03 07:45:47,1166,Rear Sliding Door Left,STATE,RESET,0,9.9,
2023-02-03 02:27:34,1166,Rear Sliding Door Left,STATE,RESET,0,9.2,
2023-02-02 21:09:13,1166,Rear Sliding Door Left,STATE,RESET,0,11,
2023-02-02 15:50:36,1166,Rear Sliding Door Left,STATE,RESET,0,13.8,
2023-02-02 10:30:12,1166,Rear Sliding Door Left,STATE,RESET,0,37.6,
2023-02-02 05:11:23,1166,Rear Sliding Door Left,STATE,RESET,0,8.2,
2023-02-01 23:53:17,1166,Rear Sliding Door Left,STATE,RESET,0,9.6,
2023-02-01 18:34:59,1166,Rear Sliding Door Left,STATE,RESET,0,10.6,
2023-02-01 13:16:21,1166,Rear Sliding Door Left,STATE,RESET,0,17.3,
2023-02-01 13:16:10,1166,Rear Sliding Door Left,STATE,RESET,0,17.3,
2023-02-01 07:55:38,1166,Rear Sliding Door Left,STATE,RESET,0,6.1,
2023-02-01 02:38:12,1166,Rear Sliding Door Left,STATE,RESET,0,6.8,
2023-02-01 02:38:01,1166,Rear Sliding Door Left,STATE,RESET,0,6.8,
2023-01-31 21:20:11,1166,Rear Sliding Door Left,STATE,RESET,0,7.5,
2023-01-31 16:02:01,1166,Rear Sliding Door Left,STATE,RESET,0,11.7,
2023-01-31 10:42:05,1166,Rear Sliding Door Left,STATE,RESET,0,26.7,
2023-01-31 05:24:05,1166,Rear Sliding Door Left,STATE,RESET,0,6.8,
2023-01-31 00:06:30,1166,Rear Sliding Door Left,STATE,RESET,0,5.4,
2023-01-30 18:48:46,1166,Rear Sliding Door Left,STATE,RESET,0,7.8,
2023-01-30 13:30:27,1166,Rear Sliding Door Left,STATE,RESET,0,15.2,
2023-01-30 08:09:38,1166,Rear Sliding Door Left,STATE,RESET,0,6.1,
2023-01-30 02:51:58,1166,Rear Sliding Door Left,STATE,RESET,0,6.8,
2023-01-29 21:34:13,1166,Rear Sliding Door Left,STATE,RESET,0,6.8,
2023-01-28 19:05:18,1166,Rear Sliding Door Left,STATE,RESET,0,6.8,
2023-01-28 13:47:18,1166,Rear Sliding Door Left,STATE,RESET,0,10.6,
2023-01-28 08:29:28,1166,Rear Sliding Door Left,STATE,RESET,0,5,
2023-01-28 08:29:16,1166,Rear Sliding Door Left,STATE,RESET,0,5,
2023-01-28 03:11:46,1166,Rear Sliding Door Left,STATE,RESET,0,4.7,
2023-01-27 21:54:19,1166,Rear Sliding Door Left,STATE,RESET,0,4.7,
2023-01-27 16:36:36,1166,Rear Sliding Door Left,STATE,RESET,0,8.5,
2023-01-27 11:17:16,1166,Rear Sliding Door Left,STATE,RESET,0,22.2,
2023-01-27 05:58:49,1166,Rear Sliding Door Left,STATE,RESET,0,7.5,
2023-01-27 00:40:57,1166,Rear Sliding Door Left,STATE,RESET,0,7.1,
2023-01-26 19:23:02,1166,Rear Sliding Door Left,STATE,RESET,0,9.2,
2023-01-26 14:04:36,1166,Rear Sliding Door Left,STATE,RESET,0,13.1,
2023-01-26 08:45:45,1166,Rear Sliding Door Left,STATE,RESET,0,8.9,
2023-01-26 03:27:47,1166,Rear Sliding Door Left,STATE,RESET,0,7.8,
2023-01-25 22:09:43,1166,Rear Sliding Door Left,STATE,RESET,0,8.9,
2023-01-25 16:51:42,1166,Rear Sliding Door Left,STATE,RESET,0,8.2,
2023-01-25 11:33:48,1166,Rear Sliding Door Left,STATE,RESET,0,7.5,
