Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-05-15 04:36:37,1091,Stairwell Window,STATE,RESET,0,15.5,
2023-05-14 23:16:45,1091,Stairwell Window,STATE,RESET,0,16.6,
2023-05-14 01:56:11,1091,Stairwell Window,STATE,RESET,0,13.1,
2023-05-12 23:17:07,1091,Stairwell Window,STATE,RESET,0,13.1,
2023-04-19 20:23:41,1091,Stairwell Window,STATE,RESET,0,14.8,
2023-04-17 20:24:27,1091,Stairwell Window,STATE,RESET,0,14.1,
2023-04-16 12:23:52,1091,Stairwell Window,STATE,RESET,0,18,
2023-04-15 09:44:41,1091,Stairwell Window,STATE,RESET,0,12.7,
2023-04-14 23:05:47,1091,Stairwell Window,STATE,RESET,0,11.7,
2023-04-14 07:06:46,1091,Stairwell Window,STATE,RESET,0,9.9,
2023-04-13 20:28:15,1091,Stairwell Window,STATE,RESET,0,13.1,
2023-04-12 01:51:49,1091,Stairwell Window,STATE,RESET,0,12,
2023-04-11 20:32:25,1091,Stairwell Window,STATE,RESET,0,12,
2023-04-11 15:12:23,1091,Stairwell Window,STATE,RESET,0,18,
2023-04-11 09:52:25,1091,Stairwell Window,STATE,RESET,0,14.8,
2023-04-07 20:39:49,1091,Stairwell Window,STATE,RESET,0,13.4,
2023-04-07 15:19:36,1091,Stairwell Window,STATE,RESET,0,17.3,
2023-04-04 23:25:07,1091,Stairwell Window,STATE,RESET,0,9.9,
2023-03-31 18:15:56,1091,Stairwell Window,STATE,RESET,0,14.1,
2023-03-29 18:18:09,1091,Stairwell Window,STATE,RESET,0,14.8,
2023-03-29 12:58:22,1091,Stairwell Window,STATE,RESET,0,13.4,
2023-03-28 05:03:03,1091,Stairwell Window,STATE,RESET,0,9.2,
2023-02-27 08:45:45,1091,Stairwell Window,STATE,RESET,0,7.1,
2023-02-27 03:27:20,1091,Stairwell Window,STATE,RESET,0,4,
2023-02-26 22:08:56,1091,Stairwell Window,STATE,RESET,0,5.4,
2023-02-26 16:50:16,1091,Stairwell Window,STATE,RESET,0,8.5,
2023-02-26 11:31:11,1091,Stairwell Window,STATE,RESET,0,9.9,
2023-02-26 06:12:31,1091,Stairwell Window,STATE,RESET,0,6.1,
2023-02-26 00:53:56,1091,Stairwell Window,STATE,RESET,0,5.7,
2023-02-25 19:35:16,1091,Stairwell Window,STATE,RESET,0,7.1,
2023-02-25 14:16:15,1091,Stairwell Window,STATE,RESET,0,11.3,
2023-02-25 08:57:03,1091,Stairwell Window,STATE,RESET,0,7.8,
2023-02-25 03:38:16,1091,Stairwell Window,STATE,RESET,0,7.5,
2023-02-24 22:19:24,1091,Stairwell Window,STATE,RESET,0,8.2,
2023-02-24 17:00:20,1091,Stairwell Window,STATE,RESET,0,10.6,
2023-02-24 11:40:54,1091,Stairwell Window,STATE,RESET,0,11.7,
2023-02-24 06:21:48,1091,Stairwell Window,STATE,RESET,0,7.8,
2023-02-24 01:02:55,1091,Stairwell Window,STATE,RESET,0,8.2,
2023-02-23 19:43:58,1091,Stairwell Window,STATE,RESET,0,9.2,
2023-02-23 14:24:45,1091,Stairwell Window,STATE,RESET,0,11.3,
2023-02-23 09:05:26,1091,Stairwell Window,STATE,RESET,0,10.6,
2023-02-23 03:46:15,1091,Stairwell Window,STATE,RESET,0,9.6,
2023-02-22 22:27:08,1091,Stairwell Window,STATE,RESET,0,10.6,
2023-02-22 17:07:47,1091,Stairwell Window,STATE,RESET,0,11,
2023-02-07 04:28:41,1091,Stairwell Window,STATE,RESET,0,5.4,
2023-02-06 23:10:14,1091,Stairwell Window,STATE,RESET,0,7.1,
2023-02-06 17:51:23,1091,Stairwell Window,STATE,RESET,0,9.9,
2023-02-06 12:31:55,1091,Stairwell Window,STATE,RESET,0,12.4,
2023-02-06 07:12:56,1091,Stairwell Window,STATE,RESET,0,6.8,
2023-02-06 01:54:24,1091,Stairwell Window,STATE,RESET,0,7.5,
2023-02-05 20:35:41,1091,Stairwell Window,STATE,RESET,0,7.5,
2023-02-05 15:16:40,1091,Stairwell Window,STATE,RESET,0,11.7,
2023-02-05 09:57:24,1091,Stairwell Window,STATE,RESET,0,9.2,
2023-02-05 04:38:46,1091,Stairwell Window,STATE,RESET,0,8.5,
2023-02-04 23:19:46,1091,Stairwell Window,STATE,RESET,0,9.9,
2023-02-04 18:00:40,1091,Stairwell Window,STATE,RESET,0,10.6,
2023-02-04 12:41:24,1091,Stairwell Window,STATE,RESET,0,11.7,
2023-02-04 07:22:12,1091,Stairwell Window,STATE,RESET,0,10.3,
2023-02-04 02:03:04,1091,Stairwell Window,STATE,RESET,0,10.6,
2023-02-03 20:43:49,1091,Stairwell Window,STATE,RESET,0,12,
2023-02-03 15:24:24,1091,Stairwell Window,STATE,RESET,0,13.8,
2023-02-03 10:04:49,1091,Stairwell Window,STATE,RESET,0,11.7,
2023-02-03 04:45:44,1091,Stairwell Window,STATE,RESET,0,9.9,
2023-02-02 23:26:38,1091,Stairwell Window,STATE,RESET,0,11,
2023-02-02 18:07:19,1091,Stairwell Window,STATE,RESET,0,12,
2023-02-02 12:47:41,1091,Stairwell Window,STATE,RESET,0,14.5,
2023-02-02 07:28:28,1091,Stairwell Window,STATE,RESET,0,8.5,
2023-02-02 02:09:27,1091,Stairwell Window,STATE,RESET,0,9.9,
2023-02-01 20:50:19,1091,Stairwell Window,STATE,RESET,0,10.3,
2023-02-01 15:31:07,1091,Stairwell Window,STATE,RESET,0,11.7,
2023-02-01 10:11:50,1091,Stairwell Window,STATE,RESET,0,10.3,
2023-02-01 04:53:06,1091,Stairwell Window,STATE,RESET,0,7.8,
2023-01-31 23:34:20,1091,Stairwell Window,STATE,RESET,0,8.9,
2023-01-31 18:15:20,1091,Stairwell Window,STATE,RESET,0,10.6,
2023-01-31 12:56:01,1091,Stairwell Window,STATE,RESET,0,13.1,
2023-01-31 07:37:02,1091,Stairwell Window,STATE,RESET,0,7.5,
2023-01-31 02:18:22,1091,Stairwell Window,STATE,RESET,0,6.8,
2023-01-30 20:59:46,1091,Stairwell Window,STATE,RESET,0,7.5,
2023-01-30 15:40:55,1091,Stairwell Window,STATE,RESET,0,9.9,
2023-01-30 10:21:45,1091,Stairwell Window,STATE,RESET,0,9.2,
2023-01-30 05:03:04,1091,Stairwell Window,STATE,RESET,0,7.1,
2023-01-29 23:44:22,1091,Stairwell Window,STATE,RESET,0,7.1,
2023-01-28 21:10:47,1091,Stairwell Window,STATE,RESET,0,7.1,
2023-01-28 15:52:07,1091,Stairwell Window,STATE,RESET,0,8.2,
2023-01-28 10:33:18,1091,Stairwell Window,STATE,RESET,0,7.5,
2023-01-28 05:14:47,1091,Stairwell Window,STATE,RESET,0,6.1,
2023-01-27 23:56:20,1091,Stairwell Window,STATE,RESET,0,5.4,
2023-01-27 18:37:49,1091,Stairwell Window,STATE,RESET,0,7.5,
2023-01-27 13:18:50,1091,Stairwell Window,STATE,RESET,0,13.1,
2023-01-27 07:59:50,1091,Stairwell Window,STATE,RESET,0,7.8,
2023-01-27 02:41:04,1091,Stairwell Window,STATE,RESET,0,7.8,
2023-01-26 21:22:16,1091,Stairwell Window,STATE,RESET,0,8.5,
2023-01-26 16:03:18,1091,Stairwell Window,STATE,RESET,0,10.6,
2023-01-26 10:44:01,1091,Stairwell Window,STATE,RESET,0,10.3,
2023-01-26 05:25:04,1091,Stairwell Window,STATE,RESET,0,8.2,
2023-01-26 00:06:12,1091,Stairwell Window,STATE,RESET,0,9.6,
2023-01-25 18:47:13,1091,Stairwell Window,STATE,RESET,0,8.9,
2023-01-25 13:28:13,1091,Stairwell Window,STATE,RESET,0,8.9,
2023-01-25 08:09:20,1091,Stairwell Window,STATE,RESET,0,7.8,
2023-01-25 02:50:36,1091,Stairwell Window,STATE,RESET,0,8.9,
2023-01-25 02:50:25,1091,Stairwell Window,STATE,RESET,0,8.9,
2023-01-24 21:31:26,1091,Stairwell Window,STATE,RESET,0,9.2,
2023-01-24 16:12:25,1091,Stairwell Window,STATE,RESET,0,9.9,
2023-01-24 10:53:19,1091,Stairwell Window,STATE,RESET,0,9.6,
2023-01-24 05:34:27,1091,Stairwell Window,STATE,RESET,0,8.5,
2023-01-24 00:15:32,1091,Stairwell Window,STATE,RESET,0,7.8,
2023-01-23 18:56:52,1091,Stairwell Window,STATE,RESET,0,6.1,
2023-01-23 13:38:30,1091,Stairwell Window,STATE,RESET,0,4,
2023-01-23 08:20:16,1091,Stairwell Window,STATE,RESET,0,2.2,
2023-01-23 03:02:11,1091,Stairwell Window,STATE,RESET,0,2.6,
2023-01-22 21:44:09,1091,Stairwell Window,STATE,RESET,0,2.6,
2023-01-22 16:25:55,1091,Stairwell Window,STATE,RESET,0,5,
2023-01-22 11:07:24,1091,Stairwell Window,STATE,RESET,0,4.7,
2023-01-22 05:49:26,1091,Stairwell Window,STATE,RESET,0,1.9,
2023-01-22 00:31:26,1091,Stairwell Window,STATE,RESET,0,2.9,
2023-01-21 19:13:15,1091,Stairwell Window,STATE,RESET,0,4.3,
2023-01-21 13:54:41,1091,Stairwell Window,STATE,RESET,0,8.9,
2023-01-21 08:36:16,1091,Stairwell Window,STATE,RESET,0,2.6,
2023-01-21 03:18:13,1091,Stairwell Window,STATE,RESET,0,3.3,
2023-01-20 21:59:59,1091,Stairwell Window,STATE,RESET,0,4.7,
2023-01-20 16:41:43,1091,Stairwell Window,STATE,RESET,0,5.4,
2023-01-20 11:23:16,1091,Stairwell Window,STATE,RESET,0,5.4,
2023-01-20 06:05:12,1091,Stairwell Window,STATE,RESET,0,2.2,
2023-01-20 00:47:13,1091,Stairwell Window,STATE,RESET,0,2.9,
2023-01-19 19:29:09,1091,Stairwell Window,STATE,RESET,0,2.9,
2023-01-19 14:10:54,1091,Stairwell Window,STATE,RESET,0,6.1,
2023-01-19 08:52:37,1091,Stairwell Window,STATE,RESET,0,1.9,
