Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-05-15 01:48:39,1194,Upstairs Front Opening,STATE,RESET,0,17.3,
2023-05-14 09:30:23,1194,Upstairs Front Opening,STATE,RESET,0,16.6,
2023-05-13 11:50:34,1194,Upstairs Front Opening,STATE,RESET,0,16.2,
2023-04-18 09:39:21,1194,Upstairs Front Opening,STATE,RESET,0,14.1,
2023-04-17 22:50:07,1194,Upstairs Front Opening,STATE,RESET,0,13.8,
2023-04-15 16:35:20,1194,Upstairs Front Opening,STATE,RESET,0,20.4,
2023-04-13 15:49:19,1194,Upstairs Front Opening,STATE,RESET,0,17.3,
2023-04-13 10:23:46,1194,Upstairs Front Opening,STATE,RESET,0,14.1,
2023-04-12 18:09:58,1194,Upstairs Front Opening,STATE,RESET,0,15.9,
2023-04-10 22:49:00,1194,Upstairs Front Opening,STATE,RESET,0,12.7,
2023-04-09 03:26:38,1194,Upstairs Front Opening,STATE,RESET,0,12,
2023-04-08 11:11:41,1194,Upstairs Front Opening,STATE,RESET,0,15.5,
2023-04-08 05:47:25,1194,Upstairs Front Opening,STATE,RESET,0,11,
2023-04-06 15:53:44,1194,Upstairs Front Opening,STATE,RESET,0,17.3,
2023-04-02 08:56:44,1194,Upstairs Front Opening,STATE,RESET,0,9.9,
2023-03-31 02:50:46,1194,Upstairs Front Opening,STATE,RESET,0,15.2,
2023-03-30 21:25:44,1194,Upstairs Front Opening,STATE,RESET,0,15.9,
2023-03-30 16:00:00,1194,Upstairs Front Opening,STATE,RESET,0,20.4,
2023-03-29 12:53:39,1194,Upstairs Front Opening,STATE,RESET,0,15.5,
2023-02-27 07:31:16,1194,Upstairs Front Opening,STATE,RESET,0,4.7,
2023-02-27 02:08:00,1194,Upstairs Front Opening,STATE,RESET,0,3.6,
2023-02-26 20:44:38,1194,Upstairs Front Opening,STATE,RESET,0,5,
2023-02-26 15:20:50,1194,Upstairs Front Opening,STATE,RESET,0,9.6,
2023-02-26 09:56:43,1194,Upstairs Front Opening,STATE,RESET,0,8.2,
2023-02-26 04:33:07,1194,Upstairs Front Opening,STATE,RESET,0,5.7,
2023-02-25 23:09:34,1194,Upstairs Front Opening,STATE,RESET,0,5.4,
2023-02-25 17:45:55,1194,Upstairs Front Opening,STATE,RESET,0,7.5,
2023-02-25 12:21:49,1194,Upstairs Front Opening,STATE,RESET,0,10.6,
