Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-05-15 09:49:40,1092,Leads Film,STATE,RESET,0,17.6,
2023-05-14 17:47:01,1092,Leads Film,STATE,RESET,0.1,17.3,
2023-05-14 07:05:44,1092,Leads Film,STATE,RESET,0,16.2,
2023-05-14 01:44:51,1092,Leads Film,STATE,RESET,0,16.6,
2023-05-13 20:24:08,1092,Leads Film,STATE,RESET,0,16.6,
2023-05-13 15:03:29,1092,Leads Film,STATE,RESET,0,16.2,
2023-05-13 09:43:04,1092,Leads Film,STATE,RESET,0,15.9,
2023-05-13 04:22:31,1092,Leads Film,STATE,RESET,0,16.2,
2023-04-20 05:30:59,1092,Leads Film,STATE,RESET,0.1,16.6,
2023-04-15 13:17:02,1092,Leads Film,STATE,RESET,0.1,14.5,
2023-04-14 05:14:07,1092,Leads Film,STATE,RESET,0.1,14.5,
2023-04-12 21:11:31,1092,Leads Film,STATE,RESET,0.1,15.5,
2023-04-10 05:04:39,1092,Leads Film,STATE,RESET,0.2,15.9,
2023-04-08 15:41:28,1092,Leads Film,STATE,RESET,0,13.8,
2023-04-07 23:40:22,1092,Leads Film,STATE,RESET,0.1,14.8,
2023-04-07 18:19:54,1092,Leads Film,STATE,RESET,0.1,14.5,
2023-04-06 15:37:51,1092,Leads Film,STATE,RESET,0.1,14.8,
2023-04-02 20:52:28,1092,Leads Film,STATE,RESET,0,13.8,
2023-04-01 07:31:17,1092,Leads Film,STATE,RESET,0.2,14.5,
2023-03-31 10:08:49,1092,Leads Film,STATE,RESET,0.2,16.2,
2023-03-30 23:27:40,1092,Leads Film,STATE,RESET,0.3,16.6,
2023-03-28 18:02:54,1092,Leads Film,STATE,RESET,0.1,13.4,
2023-03-28 02:02:29,1092,Leads Film,STATE,RESET,0,12.7,
2023-02-27 09:18:21,1092,Leads Film,STATE,RESET,0,7.8,
2023-02-27 03:58:52,1092,Leads Film,STATE,RESET,0.1,8.2,
2023-02-26 22:39:13,1092,Leads Film,STATE,RESET,0.1,8.9,
2023-02-26 17:19:32,1092,Leads Film,STATE,RESET,0.1,9.2,
2023-02-26 11:59:50,1092,Leads Film,STATE,RESET,0.1,9.2,
2023-02-26 06:40:07,1092,Leads Film,STATE,RESET,0.1,9.6,
2023-02-26 01:20:23,1092,Leads Film,STATE,RESET,0.1,9.9,
2023-02-25 20:00:35,1092,Leads Film,STATE,RESET,0.2,10.6,
2023-02-25 14:40:45,1092,Leads Film,STATE,RESET,0.1,10.6,
2023-02-25 09:20:53,1092,Leads Film,STATE,RESET,0.2,10.6,
2023-02-25 04:01:00,1092,Leads Film,STATE,RESET,0.2,11.3,
2023-02-24 22:41:01,1092,Leads Film,STATE,RESET,0.2,12,
2023-02-24 17:20:59,1092,Leads Film,STATE,RESET,0.3,12,
2023-02-24 12:00:54,1092,Leads Film,STATE,RESET,0.3,11.7,
2023-02-24 06:40:55,1092,Leads Film,STATE,RESET,0.3,11.7,
2023-02-24 01:20:52,1092,Leads Film,STATE,RESET,0.3,12.4,
2023-02-23 20:00:48,1092,Leads Film,STATE,RESET,0.4,12.7,
2023-02-23 14:40:38,1092,Leads Film,STATE,RESET,0.4,13.1,
2023-02-23 09:20:25,1092,Leads Film,STATE,RESET,0.4,12.7,
2023-02-23 04:00:16,1092,Leads Film,STATE,RESET,0.4,12.7,
2023-02-22 22:40:07,1092,Leads Film,STATE,RESET,0.3,13.1,
2023-02-22 17:19:58,1092,Leads Film,STATE,RESET,0.4,12.7,
2023-02-07 08:58:42,1092,Leads Film,STATE,RESET,0.6,11.7,
2023-02-07 08:58:16,1092,Leads Film,STATE,PRE-WARN,0.6,11.7,
2023-02-07 04:25:14,1092,Leads Film,STATE,RESET,0.9,12.7,
2023-02-06 23:04:57,1092,Leads Film,STATE,RESET,0.9,14.1,
2023-02-06 17:44:24,1092,Leads Film,STATE,RESET,0.8,16.2,
2023-02-06 12:23:14,1092,Leads Film,STATE,RESET,0.8,20.1,
2023-02-06 07:02:54,1092,Leads Film,STATE,RESET,0.8,12,
2023-02-06 01:42:45,1092,Leads Film,STATE,RESET,0.7,12.7,
