Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-05-15 10:09:46,1078,Rear Sliding Door Right,STATE,RESET,0,23.9,
2023-05-14 23:27:16,1078,Rear Sliding Door Right,STATE,RESET,0,17.6,
2023-05-14 07:21:39,1078,Rear Sliding Door Right,STATE,RESET,0,14.1,
2023-05-14 02:01:07,1078,Rear Sliding Door Right,STATE,RESET,0,14.5,
2023-05-13 20:40:00,1078,Rear Sliding Door Right,STATE,RESET,0,16.6,
2023-05-13 15:18:30,1078,Rear Sliding Door Right,STATE,RESET,0,23.6,
2023-05-13 09:56:54,1078,Rear Sliding Door Right,STATE,RESET,0,16.9,
2023-05-13 04:36:11,1078,Rear Sliding Door Right,STATE,RESET,0,13.8,
2023-05-12 23:15:17,1078,Rear Sliding Door Right,STATE,RESET,0,14.5,
2023-04-18 04:52:40,1078,Rear Sliding Door Right,STATE,RESET,0,12,
2023-04-17 18:11:21,1078,Rear Sliding Door Right,STATE,RESET,0,17.3,
2023-04-14 20:34:58,1078,Rear Sliding Door Right,STATE,RESET,0,13.4,
2023-04-11 12:22:05,1078,Rear Sliding Door Right,STATE,RESET,0,23.6,
2023-04-11 11:50:49,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,10.3,
2023-04-09 17:36:20,1078,Rear Sliding Door Right,STATE,RESET,0,18.7,
2023-04-09 01:32:53,1078,Rear Sliding Door Right,STATE,RESET,0,11,
2023-04-06 12:35:53,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,14.8,
2023-04-06 12:35:48,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,14.8,
2023-04-06 11:01:40,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,14.8,
2023-04-06 11:01:37,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,14.8,
2023-04-06 11:01:17,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,14.8,
2023-04-06 11:01:11,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,14.8,
2023-04-06 10:57:10,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,13.1,
2023-04-06 10:57:05,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,13.1,
2023-04-05 06:38:11,1078,Rear Sliding Door Right,STATE,RESET,0,8.2,
2023-04-01 22:25:00,1078,Rear Sliding Door Right,STATE,RESET,0,11,
2023-04-01 11:44:23,1078,Rear Sliding Door Right,STATE,RESET,0,13.4,
2023-04-01 01:03:33,1078,Rear Sliding Door Right,STATE,RESET,0,12.4,
2023-03-30 11:36:42,1078,Rear Sliding Door Right,STATE,RESET,0,21.1,
2023-03-29 03:31:58,1078,Rear Sliding Door Right,STATE,RESET,0,11.3,
2023-03-28 11:31:06,1078,Rear Sliding Door Right,STATE,RESET,0,11.3,
2023-03-28 11:28:16,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,9.9,
2023-02-27 07:11:05,1078,Rear Sliding Door Right,STATE,RESET,0,5,
2023-02-27 01:51:38,1078,Rear Sliding Door Right,STATE,RESET,0,5,
2023-02-26 20:32:02,1078,Rear Sliding Door Right,STATE,RESET,0,6.8,
2023-02-26 15:11:59,1078,Rear Sliding Door Right,STATE,RESET,0,15.9,
2023-02-26 09:51:17,1078,Rear Sliding Door Right,STATE,RESET,0,16.9,
2023-02-26 04:31:20,1078,Rear Sliding Door Right,STATE,RESET,0,6.4,
2023-02-25 23:11:40,1078,Rear Sliding Door Right,STATE,RESET,0,7.1,
2023-02-25 17:51:47,1078,Rear Sliding Door Right,STATE,RESET,0,9.6,
2023-02-25 12:31:01,1078,Rear Sliding Door Right,STATE,RESET,0,17.6,
2023-02-25 07:10:35,1078,Rear Sliding Door Right,STATE,RESET,0,8.2,
2023-02-25 01:50:35,1078,Rear Sliding Door Right,STATE,RESET,0,8.9,
2023-02-24 20:30:28,1078,Rear Sliding Door Right,STATE,RESET,0,10.3,
2023-02-24 15:09:57,1078,Rear Sliding Door Right,STATE,RESET,0,15.9,
2023-02-24 09:49:08,1078,Rear Sliding Door Right,STATE,RESET,0,12.7,
2023-02-24 04:29:00,1078,Rear Sliding Door Right,STATE,RESET,0,8.9,
2023-02-23 23:08:57,1078,Rear Sliding Door Right,STATE,RESET,0,8.5,
2023-02-23 17:48:50,1078,Rear Sliding Door Right,STATE,RESET,0,11.3,
2023-02-23 12:58:42,1078,Rear Sliding Door Right,STATE,RESET,0,15.9,
2023-02-23 12:58:00,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,15.5,
2023-02-23 12:28:42,1078,Rear Sliding Door Right,STATE,RESET,0,15.5,
2023-02-23 12:28:00,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,14.8,
2023-02-23 11:44:43,1078,Rear Sliding Door Right,STATE,RESET,0,14.8,
2023-02-23 11:43:57,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,12,
2023-02-23 08:52:39,1078,Rear Sliding Door Right,STATE,RESET,0,12,
2023-02-23 03:32:18,1078,Rear Sliding Door Right,STATE,RESET,0,11,
2023-02-22 22:12:01,1078,Rear Sliding Door Right,STATE,RESET,0,12.4,
2023-02-22 16:51:42,1078,Rear Sliding Door Right,STATE,RESET,0,11.7,
2023-02-22 16:51:31,1078,Rear Sliding Door Right,STATE,RESET,0,11.7,
2023-02-07 08:08:34,1078,Rear Sliding Door Right,STATE,RESET,0,5,
2023-02-07 02:49:11,1078,Rear Sliding Door Right,STATE,RESET,0,5.4,
2023-02-07 02:48:59,1078,Rear Sliding Door Right,STATE,RESET,0,5.4,
2023-02-06 21:29:14,1078,Rear Sliding Door Right,STATE,RESET,0,7.5,
2023-02-06 16:09:49,1078,Rear Sliding Door Right,STATE,RESET,0,12.4,
2023-02-06 16:09:09,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,12,
2023-02-06 16:04:09,1078,Rear Sliding Door Right,STATE,RESET,0,12,
2023-02-06 16:03:27,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,13.1,
2023-02-06 15:27:34,1078,Rear Sliding Door Right,STATE,RESET,0,13.1,
2023-02-06 15:26:52,1078,Rear Sliding Door Right,STATE,PRE-WARN,0,15.2,
