Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-05-15 13:01:17,1056,Upstairs Front Fixed,STATE,RESET,0,19,
2023-05-15 02:17:37,1056,Upstairs Front Fixed,STATE,RESET,0,16.2,
2023-05-13 18:05:12,1056,Upstairs Front Fixed,STATE,RESET,0,19.7,
2023-05-13 12:42:48,1056,Upstairs Front Fixed,STATE,RESET,0,17.6,
2023-05-13 07:21:04,1056,Upstairs Front Fixed,STATE,RESET,0,12.7,
2023-05-13 01:59:41,1056,Upstairs Front Fixed,STATE,RESET,0,12.4,
2023-04-16 22:20:31,1056,Upstairs Front Fixed,STATE,RESET,0,13.8,
2023-04-16 06:15:04,1056,Upstairs Front Fixed,STATE,RESET,0,9.2,
2023-04-16 00:54:11,1056,Upstairs Front Fixed,STATE,RESET,0,11.7,
2023-04-14 06:01:18,1056,Upstairs Front Fixed,STATE,RESET,0,9.2,
2023-04-13 03:14:44,1056,Upstairs Front Fixed,STATE,RESET,0,9.9,
2023-04-12 00:28:23,1056,Upstairs Front Fixed,STATE,RESET,0,12,
2023-04-07 02:36:26,1056,Upstairs Front Fixed,STATE,RESET,0,10.3,
2023-04-03 07:33:22,1056,Upstairs Front Fixed,STATE,RESET,0,8.2,
2023-04-01 07:23:37,1056,Upstairs Front Fixed,STATE,RESET,0,10.6,
2023-03-30 01:47:48,1056,Upstairs Front Fixed,STATE,RESET,0,13.4,
2023-03-28 17:39:38,1056,Upstairs Front Fixed,STATE,RESET,0,11,
2023-03-27 20:15:47,1056,Upstairs Front Fixed,STATE,RESET,0,10.6,
2023-02-27 06:46:53,1056,Upstairs Front Fixed,STATE,RESET,0,4.7,
2023-02-27 01:26:52,1056,Upstairs Front Fixed,STATE,RESET,0,4,
2023-02-26 20:06:43,1056,Upstairs Front Fixed,STATE,RESET,0,5.7,
2023-02-26 14:46:02,1056,Upstairs Front Fixed,STATE,RESET,0,9.9,
2023-02-26 09:25:13,1056,Upstairs Front Fixed,STATE,RESET,0,7.5,
2023-02-26 04:04:50,1056,Upstairs Front Fixed,STATE,RESET,0,5.7,
2023-02-25 22:44:32,1056,Upstairs Front Fixed,STATE,RESET,0,6.1,
2023-02-25 17:24:02,1056,Upstairs Front Fixed,STATE,RESET,0,8.2,
2023-02-25 12:03:07,1056,Upstairs Front Fixed,STATE,RESET,0,11,
2023-02-25 06:42:24,1056,Upstairs Front Fixed,STATE,RESET,0,7.1,
2023-02-25 01:21:54,1056,Upstairs Front Fixed,STATE,RESET,0,7.5,
2023-02-24 20:01:16,1056,Upstairs Front Fixed,STATE,RESET,0,8.5,
2023-02-24 14:40:20,1056,Upstairs Front Fixed,STATE,RESET,0,12.7,
2023-02-24 09:19:12,1056,Upstairs Front Fixed,STATE,RESET,0,9.9,
2023-02-24 03:58:33,1056,Upstairs Front Fixed,STATE,RESET,0,7.5,
2023-02-23 22:38:01,1056,Upstairs Front Fixed,STATE,RESET,0,7.1,
2023-02-23 17:17:18,1056,Upstairs Front Fixed,STATE,RESET,0,10.3,
2023-02-23 11:56:09,1056,Upstairs Front Fixed,STATE,RESET,0,11.7,
2023-02-23 06:35:07,1056,Upstairs Front Fixed,STATE,RESET,0,10.6,
2023-02-23 01:14:14,1056,Upstairs Front Fixed,STATE,RESET,0,9.2,
2023-02-22 19:53:10,1056,Upstairs Front Fixed,STATE,RESET,0,11.3,
2023-02-07 05:05:44,1056,Upstairs Front Fixed,STATE,RESET,0,5,
2023-02-06 23:45:29,1056,Upstairs Front Fixed,STATE,RESET,0,6.4,
2023-02-06 18:24:52,1056,Upstairs Front Fixed,STATE,RESET,0,8.5,
2023-02-06 13:03:54,1056,Upstairs Front Fixed,STATE,RESET,0,13.1,
2023-02-06 13:03:40,1056,Upstairs Front Fixed,STATE,RESET,0,13.1,
2023-02-06 07:42:40,1056,Upstairs Front Fixed,STATE,RESET,0,6.8,
2023-02-06 02:22:11,1056,Upstairs Front Fixed,STATE,RESET,0,7.1,
2023-02-05 21:01:35,1056,Upstairs Front Fixed,STATE,RESET,0,7.5,
2023-02-05 15:40:50,1056,Upstairs Front Fixed,STATE,RESET,0,11,
2023-02-05 10:19:41,1056,Upstairs Front Fixed,STATE,RESET,0,9.6,
2023-02-05 04:59:04,1056,Upstairs Front Fixed,STATE,RESET,0,8.2,
2023-02-04 23:38:10,1056,Upstairs Front Fixed,STATE,RESET,0,9.9,
2023-02-04 18:17:09,1056,Upstairs Front Fixed,STATE,RESET,0,10.6,
2023-02-04 12:55:52,1056,Upstairs Front Fixed,STATE,RESET,0,12.4,
2023-02-04 07:34:41,1056,Upstairs Front Fixed,STATE,RESET,0,10.3,
2023-02-04 02:13:36,1056,Upstairs Front Fixed,STATE,RESET,0,10.6,
2023-02-03 20:52:26,1056,Upstairs Front Fixed,STATE,RESET,0,12,
2023-02-03 15:31:04,1056,Upstairs Front Fixed,STATE,RESET,0,13.8,
